"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","User_Score","Rating"
"Battlestations: Midway","X360",2007,"Strategy","Eidos Interactive",0.21,0.02,0,0.02,0.26,7.1,"T"
"Riding Spirits","PS2",2002,"Racing","BAM! Entertainment",0.13,0.1,0,0.03,0.26,9,"E"
"Project CARS","XOne",2015,"Racing","Slightly Mad Studios",0.11,0.13,0,0.02,0.26,5.8,"E"
"MLB 09: The Show","PSP",2009,"Sports","Sony Computer Entertainment",0.24,0,0,0.02,0.26,6.9,"E"
"Bust A Groove 2","PS",1999,"Misc","Enix Corporation",0.04,0.03,0.18,0.02,0.26,8.9,"E"
"Inazuma Eleven Strikers","Wii",2011,"Role-Playing","Nintendo",0,0.01,0.25,0,0.26,7.9,""
"NCAA March Madness 08","PS2",2007,"Sports","Electronic Arts",0.13,0.1,0,0.03,0.26,5,"E"
"Armored Core: Nexus","PS2",2004,"Simulation","Indie Games",0.06,0.05,0.14,0.02,0.26,8.7,"T"
"Evolution Skateboarding","PS2",2002,"Sports","Konami Digital Entertainment",0.13,0.1,0,0.03,0.26,6.7,"T"
"Outlaw Volleyball","XB",2003,"Sports","TDK Mediactive",0.19,0.06,0,0.01,0.26,8.4,"M"
"Batman: Vengeance","GC",2001,"Adventure","Ubisoft",0.2,0.05,0,0.01,0.26,5.8,"T"
"Spider-Man: Web of Shadows","PS3",2008,"Action","Activision",0.2,0.04,0,0.02,0.26,7.9,"T"
"Legaia 2: Duel Saga","PS2",2001,"Role-Playing","Eidos Interactive",0.13,0.1,0,0.03,0.26,8.4,"T"
"Crash Nitro Kart","GC",2003,"Racing","Vivendi Games",0.2,0.05,0,0.01,0.26,7.4,"E"
"Samurai Warriors 4","PS3",2014,"Action","Tecmo Koei",0,0,0.26,0,0.26,8,"T"
"ExciteBots: Trick Racing","Wii",2009,"Racing","Nintendo",0.24,0,0,0.02,0.26,8.6,"E"
"Oddworld: Stranger's Wrath","XB",2005,"Adventure","Electronic Arts",0.19,0.06,0,0.01,0.26,9.1,"T"
"King of Fighters: Maximum Impact","PS2",2004,"Fighting","Ignition Entertainment",0.13,0.1,0,0.03,0.26,6.9,"T"
"Atelier Ayesha: The Alchemist of Dusk","PS3",2012,"Role-Playing","Tecmo Koei",0.06,0.04,0.14,0.02,0.26,6.6,"T"
"Battleborn","PS4",2016,"Shooter","Take-Two Interactive",0.12,0.08,0.02,0.04,0.26,6.8,"T"
"Drakan: The Ancients' Gates","PS2",2002,"Adventure","Sony Computer Entertainment",0.13,0.1,0,0.03,0.26,9,"M"
"Resident Evil: Revelations","X360",2013,"Action","Capcom",0.12,0.1,0.02,0.02,0.26,7.4,"M"
"Tony Hawk: Shred","X360",2010,"Sports","Activision",0.17,0.06,0,0.02,0.26,6.6,"E"
"Tokyo Jungle","PS3",2012,"Action","Sony Computer Entertainment",0,0,0.26,0,0.26,8.4,"T"
"Army of Two: The Devil's Cartel","X360",2013,"Shooter","Electronic Arts",0.16,0.07,0,0.02,0.26,6.2,"M"
"Puppeteer","PS3",2013,"Platform","Sony Computer Entertainment Europe",0.11,0.08,0.02,0.04,0.26,8.5,"E10+"
"Tom Clancy's Splinter Cell: Double Agent","PS3",2007,"Action","Ubisoft",0.2,0.03,0,0.03,0.26,6.5,"M"
"Resident Evil: Deadly Silence","DS",2006,"Action","Capcom",0.11,0.02,0.11,0.01,0.26,8.4,"M"
"Legendary","X360",2008,"Shooter","Atari",0.08,0.15,0,0.03,0.26,7.1,"M"
"Peter Jackson's King Kong: The Official Game of the Movie","X360",2005,"Action","Ubisoft",0.2,0.03,0,0.02,0.26,7.5,"T"
"Rayman DS","DS",2005,"Platform","Ubisoft",0.21,0.03,0,0.02,0.26,7.6,"E"
"Zoo Tycoon 2: Ultimate Collection","PC",2008,"Strategy","Microsoft Game Studios",0.04,0.18,0,0.04,0.26,8.4,"E"
"All-Star Baseball 2003","XB",2002,"Sports","Acclaim Entertainment",0.19,0.06,0,0.01,0.26,8.1,"E"
"MTX Mototrax","PS2",2004,"Racing","Activision",0.13,0.1,0,0.03,0.26,8.1,"E"
"NBA ShootOut 2004","PS2",2003,"Sports","Sony Computer Entertainment",0.13,0.1,0,0.03,0.26,7.8,"E"
"Nancy Drew: The Mystery of the Clue Bender Society","DS",2008,"Adventure","Codemasters",0.24,0,0,0.02,0.26,3.6,"E10+"
"Castlevania: Harmony of Dissonance","GBA",2002,"Platform","Konami Digital Entertainment",0.16,0.06,0.04,0,0.26,8.2,"T"
"Formula One 2001","PS2",2001,"Racing","Sony Computer Entertainment",0.13,0.1,0,0.03,0.26,6,"E"
"Pirates of the Caribbean: Dead Man's Chest","DS",2006,"Adventure","Disney Interactive Studios",0.23,0.01,0,0.02,0.26,8.6,"T"
"Baldur's Gate: Dark Alliance II","XB",2004,"Role-Playing","Acclaim Entertainment",0.19,0.06,0,0.01,0.26,7.9,"T"
"Madden NFL 2005","DS",2004,"Sports","Electronic Arts",0.24,0,0,0.02,0.26,7.7,"E"
"MVP Baseball 2004","GC",2004,"Sports","Electronic Arts",0.2,0.05,0,0.01,0.26,8.5,"E"
"Polarium","DS",2004,"Puzzle","Nintendo",0.13,0.01,0.11,0.01,0.26,8.4,"E"
"Super Street Fighter II: Turbo Revival","GBA",2001,"Fighting","Ubisoft",0.18,0.07,0,0,0.25,7.4,"T"
"Secret Weapons Over Normandy","XB",2003,"Simulation","LucasArts",0.19,0.05,0,0.01,0.25,8.8,"T"
"The Elder Scrolls IV: Oblivion","PC",2006,"Role-Playing","Take-Two Interactive",0.01,0.2,0,0.04,0.25,8.1,"M"
"Metroid Prime Pinball","DS",2005,"Misc","Nintendo",0.21,0,0.02,0.02,0.25,7.9,"E"
"Teen Titans","PS2",2006,"Action","THQ",0.12,0.1,0,0.03,0.25,8.6,"E10+"
"One Piece: Pirate Warriors 3","PS3",2015,"Action","Namco Bandai Games",0,0.06,0.19,0.01,0.25,3.7,"T"
"Star Wars The Clone Wars: Republic Heroes","PS2",2009,"Action","LucasArts",0.17,0.01,0,0.08,0.25,8.3,"T"
"Bomberman Generation","GC",2002,"Adventure","Vivendi Games",0.15,0.04,0.06,0.01,0.25,8.5,"E"
"Sega Rally Revo","PSP",2007,"Racing","Sega",0.03,0.15,0,0.07,0.25,7.2,"E"
"Surfing H3O","PS2",2000,"Sports","Take-Two Interactive",0.12,0.1,0,0.03,0.25,4.6,"E"
"NASCAR 09","X360",2008,"Racing","Electronic Arts",0.23,0,0,0.02,0.25,7.8,"E"
"NASCAR 09","PS3",2008,"Racing","Electronic Arts",0.22,0.01,0,0.02,0.25,7.5,"E"
"Game of Thrones","X360",2012,"Role-Playing","Focus Home Interactive",0.15,0.08,0,0.02,0.25,5.2,"M"
"Happy Feet","GC",2006,"Action","Midway Games",0.2,0.05,0,0.01,0.25,8.6,"E"
"Silent Hunter 5: Battle of the Atlantic","PC",2010,"Simulation","Ubisoft",0,0.21,0,0.05,0.25,3.5,"T"
"Amped 2","XB",2003,"Sports","Microsoft Game Studios",0.2,0.04,0,0.01,0.25,7.7,"E"
"Final Fantasy Crystal Chronicles: Echoes of Time","Wii",2009,"Role-Playing","Square Enix",0.13,0.06,0.05,0.02,0.25,5.6,"E10+"
"NHL 08","PS3",2007,"Action","Electronic Arts",0.16,0.06,0,0.03,0.25,6.9,"E10+"
"Just Dance 2015","PS3",2014,"Misc","Ubisoft",0.13,0.08,0,0.04,0.25,6.8,"E10+"
"The Legend of Legacy","3DS",2015,"Role-Playing","FuRyu",0.12,0.01,0.1,0.02,0.25,7.1,"E10+"
"Juiced 2: Hot Import Nights","PS3",2007,"Racing","THQ",0.18,0.04,0.01,0.03,0.25,6.4,"T"
"WipEout XL","PS",1996,"Racing","Psygnosis",0.14,0.1,0,0.02,0.25,8.7,""
"LEGO Star Wars III: The Clone Wars","PC",2011,"Action","LucasArts",0.1,0.13,0,0.03,0.25,7.5,"E10+"
"The Powerpuff Girls: Chemical X-Traction","PS",2001,"Action","BAM! Entertainment",0.14,0.1,0,0.02,0.25,6.3,"E"
"Dead or Alive Xtreme 2","X360",2006,"Sports","Tecmo Koei",0.15,0.02,0.06,0.02,0.25,6.7,"M"
"PlayStation VR Worlds","PS4",2016,"Misc","Sony Computer Entertainment",0.06,0.14,0.02,0.04,0.25,7.1,"M"
"Hunted: The Demon's Forge","PS3",2011,"Action","Bethesda Softworks",0.12,0.08,0.02,0.03,0.25,6.2,"M"
"Men of Valor","XB",2004,"Shooter","Vivendi Games",0.19,0.05,0,0.01,0.25,8,"M"
"Medal of Honor European Assault","GC",2005,"Shooter","Electronic Arts",0.19,0.05,0,0.01,0.25,7.9,"T"
"Billy Hatcher and the Giant Egg","GC",2003,"Platform","Sega",0.19,0.05,0,0.01,0.25,8.7,"E"
"NHL 08","X360",2007,"Action","Electronic Arts",0.22,0.01,0,0.02,0.25,8.2,"E10+"
"WipEout Fusion","PS2",2002,"Racing","Sony Computer Entertainment",0.12,0.1,0,0.03,0.25,8.5,"E"
"Prison Break: The Conspiracy","PS3",2010,"Action","Deep Silver",0.05,0.15,0,0.05,0.25,3.8,"T"
"NHL 06","XB",2005,"Sports","Electronic Arts",0.19,0.05,0,0.01,0.25,8.4,"E10+"
"Imagine: Ballet Star","DS",2008,"Simulation","Ubisoft",0.23,0,0,0.02,0.25,7,"E"
"Anno 2205","PC",2015,"Strategy","Ubisoft",0.02,0.22,0,0.02,0.25,5.9,"E10+"
"Minute to Win It","Wii",2010,"Misc","Zoo Games",0.23,0,0,0.02,0.25,3,"E"
"Ultimate Fighting Championship","PS",2000,"Fighting","Ubisoft",0.14,0.09,0,0.02,0.25,7.4,"T"
"XIII","XB",2003,"Shooter","Ubisoft",0.16,0.08,0,0.01,0.25,8.3,"M"
"Up","PS3",2009,"Action","THQ",0.15,0.06,0,0.03,0.25,6.5,"E10+"
"Michael Jackson: The Experience","DS",2010,"Misc","Ubisoft",0.21,0.02,0,0.02,0.25,6.6,"E10+"
"MotoGP '07","X360",2007,"Racing","THQ",0.23,0,0,0.02,0.25,7.3,"E"
"Cars","X360",2006,"Racing","THQ",0.22,0.01,0,0.02,0.25,6.1,"E"
"Hatsune Miku: Project Diva F 2nd","PS3",2014,"Misc","Sega",0.09,0.03,0.1,0.03,0.25,8.6,"T"
"Need for Speed Rivals","PC",2013,"Racing","Electronic Arts",0.04,0.19,0,0.02,0.25,3.3,"E10+"
"The Mummy: Tomb of the Dragon Emperor","PS2",2008,"Action","Vivendi Games",0.12,0.1,0,0.03,0.25,6.8,"T"
"Def Jam Vendetta","GC",2003,"Fighting","Electronic Arts",0.19,0.05,0,0.01,0.25,8.5,"T"
"The Sims 2","XB",2005,"Simulation","Electronic Arts",0.19,0.05,0,0.01,0.25,7.1,"T"
"Spider-Man: Web of Shadows","Wii",2008,"Action","Activision",0.22,0.01,0,0.02,0.25,6.9,"T"
"The Bureau: XCOM Declassified","PS3",2013,"Shooter","Take-Two Interactive",0.08,0.13,0,0.04,0.25,6.7,"M"
"World Series Baseball 2K3","PS2",2003,"Sports","Sega",0.12,0.1,0,0.03,0.25,8.7,"E"
"Tony Hawk's Proving Ground","Wii",2007,"Sports","Activision",0.22,0.01,0,0.02,0.25,6.2,"T"
"Indiana Jones and the Staff of Kings","PSP",2009,"Action","Activision",0.11,0.09,0,0.05,0.25,7.8,"T"
"The Outfit","X360",2006,"Action","THQ",0.21,0.02,0,0.02,0.25,7.5,"M"
"Don King Presents: Prizefighter","X360",2008,"Sports","Take-Two Interactive",0.14,0.08,0,0.02,0.25,6.4,"T"
"Devil Kings","PS2",2005,"Action","Capcom",0.03,0.03,0.18,0.01,0.25,7.4,"T"
"Bolt","X360",2008,"Adventure","Disney Interactive Studios",0.18,0.05,0,0.02,0.25,7.1,"E10+"
"Spider-Man: Edge of Time","X360",2011,"Action","Activision",0.18,0.05,0,0.02,0.25,6.8,"T"
"L.A. Noire: The Complete Edition","PC",2011,"Adventure","Take-Two Interactive",0.08,0.13,0,0.03,0.25,7.9,"M"
"Dynasty Warriors 6","PS2",2008,"Action","Tecmo Koei",0.12,0.09,0,0.03,0.25,5.4,"T"
"America's Army: Rise of a Soldier","XB",2005,"Shooter","Ubisoft",0.19,0.05,0,0.01,0.25,7.4,"T"
"Grandia","PS",1999,"Role-Playing","Ubisoft",0.14,0.09,0,0.02,0.25,6.6,"E"
"Pirates of the Caribbean: The Legend of Jack Sparrow","PS2",2006,"Adventure","Ubisoft",0.12,0.09,0,0.03,0.25,7.5,"T"
"Ed, Edd n Eddy: The Mis-Edventures","GC",2005,"Platform","Midway Games",0.19,0.05,0,0.01,0.25,7.9,"E"
"Armored Core 4","X360",2007,"Simulation","505 Games",0.19,0.01,0.03,0.02,0.25,7.2,"T"
"Dreamworks Madagascar Kartz","X360",2009,"Racing","Activision",0.14,0.09,0,0.02,0.25,6,"E"
"SBK Superbike World Championship","PS3",2008,"Racing","Black Bean Games",0.12,0.11,0,0.02,0.25,6.1,"E10+"
"Indiana Jones and the Staff of Kings","DS",2009,"Action","Activision",0.16,0.07,0,0.02,0.25,6.8,"T"
"X-Men Origins: Wolverine","Wii",2009,"Action","Activision",0.19,0.04,0,0.02,0.25,6.1,"T"
"Disgaea 2: Dark Hero Days","PSP",2009,"Role-Playing","Nippon Ichi Software",0.1,0.01,0.12,0.02,0.25,7.1,"T"
"Major League Baseball 2K7","PS3",2007,"Sports","Spike",0.23,0,0,0.02,0.25,4.7,"E"
"Final Fantasy XI: Chains of Promathia","PS2",2004,"Role-Playing","Square Enix",0.12,0.09,0,0.03,0.25,8,"T"
"The Chronicles of Riddick: Assault on Dark Athena","PS3",2009,"Shooter","Vivendi Games",0.12,0.09,0,0.04,0.25,7.7,"M"
"Teenage Mutant Ninja Turtles: Danger of the Ooze","PS3",2014,"Adventure","Activision",0.11,0.09,0,0.04,0.25,5.9,"E10+"
"X-Men Legends II: Rise of Apocalypse","GC",2005,"Role-Playing","Activision",0.19,0.05,0,0.01,0.25,6.2,"T"
"Monster Jam: Path of Destruction","PS3",2010,"Racing","Activision",0.21,0.02,0,0.02,0.25,6.3,"E"
"TV Superstars","PS3",2010,"Misc","Sony Computer Entertainment",0.07,0.12,0,0.05,0.25,4.9,"E"
"Family Guy: Back to the Multiverse","X360",2012,"Action","Activision",0.14,0.09,0,0.02,0.25,5,"M"
"Ninja Gaiden 3","X360",2012,"Action","Tecmo Koei",0.16,0.05,0.03,0.02,0.25,4.4,"M"
"Sid Meier's Civilization VI","PC",2016,"Strategy","Take-Two Interactive",0.09,0.13,0,0.02,0.25,7.3,"E10+"
"Sword Art Online: Lost Song","PS4",2015,"Role-Playing","Namco Bandai Games",0.1,0.11,0,0.04,0.25,6.3,"T"
"NBA Courtside 2002","GC",2002,"Sports","Nintendo",0.19,0.05,0,0.01,0.25,7.4,"E"
"F1 2015","XOne",2015,"Racing","Codemasters",0.08,0.15,0,0.02,0.25,5.3,"E"
"Sly Cooper: Thieves in Time","PSV",2013,"Platform","Sony Computer Entertainment Europe",0.13,0.06,0,0.06,0.25,8.2,"E10+"
"Dora the Explorer: Journey to the Purple Planet","PS2",2005,"Adventure","Global Star",0.12,0.09,0,0.03,0.24,7,"EC"
"Digimon World: Data Squad","PS2",2006,"Role-Playing","Namco Bandai Games",0.12,0.09,0,0.03,0.24,8,"E10+"
"Catz","GBA",2005,"Simulation","Ubisoft",0.18,0.06,0,0,0.24,7.9,"E"
"Hitman: Absolution","PC",2012,"Action","Square Enix",0.03,0.17,0,0.04,0.24,7,"M"
"Stella Glow","3DS",2015,"Role-Playing","Atlus",0.16,0.01,0.05,0.02,0.24,8.7,"T"
"Racquet Sports","Wii",2010,"Sports","Ubisoft",0.13,0.09,0,0.02,0.24,8.6,"E"
"Trials Fusion","XOne",2014,"Racing","Ubisoft",0.12,0.1,0,0.02,0.24,7.1,"E10+"
"Far Cry Instincts Predator","X360",2006,"Shooter","Ubisoft",0.2,0.03,0,0.02,0.24,6.2,"M"
"Onechanbara Z2: Chaos","PS4",2014,"Action","Nippon Ichi Software",0.14,0.03,0.04,0.04,0.24,6.5,"M"
"Ben 10 Ultimate Alien: Cosmic Destruction","PS3",2010,"Platform","D3Publisher",0.12,0.08,0,0.04,0.24,8.6,"E10+"
"Skylanders SWAP Force","3DS",2013,"Platform","Activision",0.1,0.12,0,0.02,0.24,6.4,"E10+"
"Cabela's Outdoor Adventures (2009)","X360",2009,"Sports","Activision Value",0.23,0,0,0.02,0.24,7.8,"T"
"Army Men: Sarge's Heroes 2","PS",2000,"Shooter","3DO",0.14,0.09,0,0.02,0.24,7.3,"T"
"MLB","PSP",2005,"Sports","Sony Computer Entertainment",0.23,0,0,0.02,0.24,7.9,"E"
"Skylanders: SuperChargers","XOne",2015,"Action","Activision",0.17,0.05,0,0.02,0.24,5.5,"E10+"
"Ys: Memories of Celceta","PSV",2012,"Action","Nihon Falcom Corporation",0.1,0.01,0.1,0.04,0.24,8.8,"T"
"Britney's Dance Beat","PS2",2002,"Misc","THQ",0.12,0.09,0,0.03,0.24,4.8,"E"
"Vexx","PS2",2003,"Platform","Acclaim Entertainment",0.12,0.09,0,0.03,0.24,7.6,"T"
"Samurai Warriors 4","PS4",2014,"Action","Tecmo Koei",0.08,0.07,0.06,0.03,0.24,8.1,"T"
"Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24,7.8,"T"
"TimeSplitters: Future Perfect","PS2",2005,"Shooter","Electronic Arts",0.12,0.09,0,0.03,0.24,9.1,"M"
"Dynasty Warriors Next","PSV",2011,"Action","Tecmo Koei",0.05,0.06,0.11,0.02,0.24,7.5,"T"
"Harvest Moon: Magical Melody","GC",2005,"Simulation","Ubisoft",0.19,0.05,0,0.01,0.24,8.9,"E"
"Genma Onimusha","XB",2002,"Action","Capcom",0.14,0.04,0.05,0.01,0.24,8.6,"M"
"DK: King of Swing","GBA",2005,"Platform","Nintendo",0.17,0.06,0,0,0.24,5,"E"
"Turning Point: Fall of Liberty","PS3",2008,"Shooter","Codemasters",0.21,0.01,0,0.02,0.24,5.5,"T"
"Homefront","PC",2011,"Shooter","THQ",0.11,0.1,0,0.03,0.24,5.5,"M"
"Corvette","XB",2003,"Racing","TDK Mediactive",0.18,0.05,0,0.01,0.24,8.6,"E"
"Percy Jackson and the Olympians: The Lightning Thief","DS",2010,"Role-Playing","Activision",0.22,0.01,0,0.02,0.24,6.9,"E10+"
"Fuel","PS3",2009,"Racing","Codemasters",0.08,0.11,0,0.04,0.24,7.4,"E"
"NBA Live 10","PSP",2009,"Sports","Electronic Arts",0.21,0,0.01,0.02,0.24,4.2,"E"
"Burnout 2: Point of Impact","XB",2003,"Racing","Acclaim Entertainment",0.18,0.05,0,0.01,0.24,5.1,"E"
"Super Monkey Ball Deluxe","PS2",2005,"Misc","Sega",0.12,0.09,0,0.03,0.24,7.7,"E"
"Kill.Switch","XB",2003,"Shooter","Namco Bandai Games",0.18,0.05,0,0.01,0.24,8,"T"
"Lunar: Silver Star Harmony","PSP",2009,"Role-Playing","GungHo",0.19,0,0.03,0.02,0.24,7.7,"T"
"Peter Jackson's King Kong: The Official Game of the Movie","GC",2005,"Action","Ubisoft",0.19,0.05,0,0.01,0.24,8.3,"T"
"Dancing With The Stars","Wii",2007,"Misc","Activision",0.22,0,0,0.02,0.24,6.2,"E10+"
"The Simpsons: Road Rage","GC",2001,"Racing","Electronic Arts",0.19,0.05,0,0.01,0.24,7.7,"T"
"Dynasty Warriors 7","X360",2011,"Action","Tecmo Koei",0.16,0.06,0,0.02,0.24,8,"T"
"Total War: Attila","PC",2015,"Strategy","Sega",0.09,0.13,0,0.02,0.24,7.3,"T"
"Azurik: Rise of Perathia","XB",2001,"Action","Microsoft Game Studios",0.18,0.05,0,0.01,0.24,8.5,"T"
"Dragon Ball Z: Sagas","XB",2005,"Fighting","Atari",0.18,0.05,0,0.01,0.24,6.1,"T"
"AC/DC LIVE: Rock Band Track Pack","PS3",2008,"Misc","MTV Games",0.21,0.01,0,0.02,0.24,5.3,"T"
"Crash Tag Team Racing","PSP",2005,"Racing","Vivendi Games",0.16,0.05,0,0.03,0.24,7.1,"E10+"
"NHRA Championship Drag Racing","PS2",2005,"Racing","ValuSoft",0.12,0.09,0,0.03,0.24,9.1,"E"
"Monster Jam","PS2",2007,"Racing","Activision",0.12,0.09,0,0.03,0.24,5.9,"E"
"Asura's Wrath","X360",2012,"Action","Capcom",0.15,0.06,0.01,0.02,0.24,6.5,"T"
"Harvest Moon: Another Wonderful Life","GC",2004,"Role-Playing","Marvelous Interactive",0.19,0.05,0,0.01,0.24,9.2,"E"
"Final Fantasy Fables: Chocobo Tales","DS",2006,"Adventure","Ubisoft",0.1,0.01,0.12,0.01,0.24,7.4,"E"
"NCAA College Basketball 2K3","PS2",2002,"Sports","Sega",0.12,0.09,0,0.03,0.24,8,"E"
"NHL 17","XOne",2016,"Sports","Electronic Arts",0.2,0.01,0,0.03,0.24,4,"E10+"
"Bakugan: Battle Brawlers","X360",2009,"Action","Activision",0.2,0.02,0,0.02,0.24,5.2,"E"
"Fantastic 4","GC",2005,"Action","Activision",0.19,0.05,0,0.01,0.24,4,"T"
"Tony Hawk's American Sk8land","GBA",2005,"Sports","Activision",0.17,0.06,0,0,0.24,5.4,"E"
"Metro 2033","PC",2010,"Shooter","THQ",0,0.19,0,0.05,0.24,8.1,"M"
"Dragon Ball: XenoVerse","X360",2015,"Fighting","Namco Bandai Games",0.17,0.04,0,0.02,0.24,6.7,"T"
"Valhalla Knights","PSP",2006,"Role-Playing","Rising Star Games",0.15,0,0.07,0.01,0.24,6.3,"E10+"
"Destiny: The Collection","PS4",2016,"Shooter","Activision",0.05,0.15,0,0.04,0.24,8.1,"T"
"The Adventures of Tintin: The Game","X360",2011,"Action","Ubisoft",0.07,0.13,0,0.03,0.24,6.1,"E10+"
"Etrian Mystery Dungeon","3DS",2015,"Role-Playing","Nippon Ichi Software",0.09,0.01,0.13,0.01,0.24,7.9,"E10+"
"Zumba Fitness: World Party","XOne",2013,"Misc","Majesco Entertainment",0.17,0.05,0,0.02,0.24,6.2,"E"
"Luminous Arc","DS",2007,"Role-Playing","Rising Star Games",0.16,0,0.06,0.01,0.24,7,"T"
"Boogie SuperStar","Wii",2008,"Misc","Electronic Arts",0.2,0.02,0,0.02,0.24,8.6,"E10+"
"4x4 EVO 2","XB",2001,"Racing","Gathering of Developers",0.18,0.05,0,0.01,0.24,6.2,"E"
"Grand Theft Auto","GBA",2004,"Action","Take-Two Interactive",0.17,0.06,0,0,0.24,7.1,"M"
"Avalon Code","DS",2008,"Role-Playing","Rising Star Games",0.11,0,0.12,0.01,0.24,7.4,"E10+"
"Dreamcast Collection","X360",2011,"Misc","Sega",0.16,0.06,0,0.02,0.24,5.2,"T"
"Resident Evil Archives: Resident Evil Zero","Wii",2008,"Action","Capcom",0.13,0.03,0.06,0.01,0.24,8.2,"M"
"Rocket League","XOne",2016,"Sports","505 Games",0.05,0.17,0,0.02,0.24,8.3,"E"
"My Street","PS2",2003,"Misc","Sony Computer Entertainment",0.12,0.09,0,0.03,0.24,3.9,"E"
"Spider-Man: Shattered Dimensions","Wii",2010,"Action","Activision",0.12,0.09,0,0.02,0.24,7.7,"T"
"Ghost Rider","PSP",2007,"Action","Take-Two Interactive",0.22,0,0,0.02,0.24,5.7,"T"
"Shadow Hearts: Covenant","PS2",2004,"Role-Playing","Midway Games",0.12,0.09,0,0.03,0.24,9.1,"T"
"X-Men: Destiny","PS3",2011,"Action","Activision",0.14,0.07,0,0.03,0.24,4.8,"T"
"Driver '76","PSP",2007,"Racing","Ubisoft",0.03,0.14,0,0.07,0.24,7.9,"M"
"Harry Potter and the Order of the Phoenix","PS3",2007,"Action","Electronic Arts",0.18,0.03,0,0.03,0.24,6.6,"E10+"
"Midway Arcade Treasures: Extended Play","PSP",2005,"Misc","Midway Games",0.21,0,0,0.02,0.24,7.8,"M"
"Galaga: Destination Earth","PS",2000,"Shooter","Hasbro Interactive",0.13,0.09,0,0.02,0.24,8,"E"
"Dynasty Warriors 6 Empires","X360",2009,"Action","Tecmo Koei",0.16,0.01,0.04,0.02,0.24,7.3,"T"
"The Testament of Sherlock Holmes","PS3",2012,"Adventure","Focus Home Interactive",0.05,0.14,0,0.04,0.24,7.4,"M"
"FIFA World Cup Germany 2006","XB",2006,"Sports","Electronic Arts",0.18,0.05,0,0.01,0.24,8.4,"E"
"NBA Live 14","PS4",2013,"Sports","Electronic Arts",0.15,0.05,0,0.04,0.24,2.7,"E"
"G.I. Joe: The Rise of Cobra","X360",2009,"Action","Electronic Arts",0.17,0.05,0,0.02,0.24,4.7,"T"
"Game of Thrones","PS3",2012,"Role-Playing","Focus Home Interactive",0.1,0.1,0,0.03,0.24,5.5,"M"
"LEGO Marvel's Avengers","WiiU",2016,"Action","Warner Bros. Interactive Entertainment",0.12,0.1,0,0.02,0.24,6.8,"E10+"
"PDC World Championship Darts 2008","Wii",2008,"Sports","Oxygen Interactive",0.02,0.21,0,0.01,0.24,5.4,"E10+"
"X-Men: Destiny","X360",2011,"Action","Activision",0.18,0.04,0,0.02,0.24,5,"T"
"Pro Evolution Soccer 2014","X360",2013,"Action","Konami Digital Entertainment",0.07,0.15,0,0.02,0.24,4.3,"E"
"Angry Birds","PC",2011,"Puzzle","Focus Home Interactive",0,0.18,0,0.05,0.24,7.3,"E"
"Pure Futbol","PS3",2010,"Sports","Ubisoft",0.06,0.13,0,0.04,0.24,7.5,"E"
"Afro Samurai","X360",2009,"Action","Atari",0.16,0.05,0,0.02,0.24,6.2,"M"
"Ar tonelico Qoga: Knell of Ar Ciel","PS3",2010,"Role-Playing","Tecmo Koei",0.08,0.01,0.13,0.01,0.24,5.4,"M"
"NASCAR 08","PS2",2007,"Racing","Electronic Arts",0.12,0.09,0,0.03,0.24,8.2,"E"
"Broken Sword: Shadow of the Templars - The Director's Cut","Wii",2009,"Adventure","Ubisoft",0.11,0.1,0,0.02,0.24,8.1,"T"
"Divinity II: Ego Draconis","X360",2009,"Role-Playing","DTP Entertainment",0.18,0.04,0,0.02,0.24,6.4,"M"
"Birds of Steel","PS3",2012,"Simulation","Konami Digital Entertainment",0.1,0.08,0.02,0.03,0.23,8.4,"T"
"DC Universe Online","PC",2011,"Role-Playing","Sony Online Entertainment",0.16,0.06,0,0.02,0.23,6.8,"T"
"Bakugan: Battle Brawlers","PS3",2009,"Action","Activision",0.19,0.03,0,0.02,0.23,8.2,"E"
"Naruto: Path of the Ninja 2","DS",2006,"Role-Playing","Takara Tomy",0.22,0,0,0.02,0.23,7.5,"E10+"
"Karaoke Revolution Volume 2","PS2",2004,"Misc","Konami Digital Entertainment",0.11,0.09,0,0.03,0.23,7,"E"
"Prince of Persia: The Forgotten Sands","Wii",2010,"Action","Ubisoft",0.1,0.11,0,0.02,0.23,8.1,"T"
"Disney's A Christmas Carol","DS",2009,"Adventure","Disney Interactive Studios",0.21,0.01,0,0.02,0.23,6.5,"E"
"NBA Live 15","PS4",2014,"Sports","Electronic Arts",0.16,0.04,0,0.04,0.23,5.6,"E"
"NASCAR Thunder 2004","XB",2003,"Racing","Electronic Arts",0.18,0.05,0,0.01,0.23,9.1,"E"
"Buffy the Vampire Slayer","XB",2002,"Action","Electronic Arts",0.18,0.05,0,0.01,0.23,9.1,"T"
"Harry Potter and the Goblet of Fire","XB",2005,"Action","Electronic Arts",0.18,0.05,0,0.01,0.23,5.8,"E10+"
"Sands of Destruction","DS",2008,"Role-Playing","Sega",0.09,0,0.13,0.01,0.23,7.9,"T"
"Harry Potter and the Goblet of Fire","DS",2005,"Action","Electronic Arts",0.2,0.01,0,0.02,0.23,6,"E"
